slug	seo_title	meta_description	alias	wp_url
incredible-machu-picchu-2d	2-Day Sacred Valley & Machu Picchu Tour by Train	Visit Sacred Valley and Machu Picchu on a 2-day trip featuring scenic train rides and cultural experiences.	/tour/incredible-machu-picchu-2d/	https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/
the-classic-salkantay-trek-5d	5-Day Salkantay Sky Camp Trek to Machu Picchu	Hike the Salkantay Trek to Machu Picchu in 5 days with Sky Camp accommodation, breathtaking scenery, and unforgettable adventure experiences.	/tour/the-classic-salkantay-trek-5d/	https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/
choquequirao-trek-5d	5-Day Choquequirao Trek from Cusco	Trek to the hidden Inca citadel of Choquequirao through remote Andean landscapes and breathtaking mountain scenery.	/tour/choquequirao-trek-5d/	https://www.perugrandtravel.com/tour/choquequirao-trek-5d/
salkantay-trek-4-days	4-Day Salkantay Sky Camp Trek to Machu Picchu	Experience the Salkantay Trek to Machu Picchu in 4 days with Sky Camp lodging and spectacular mountain landscapes.	/tour/salkantay-trek-4-days/	https://www.perugrandtravel.com/tour/salkantay-trek-4-days/
maras-moray-and-the-salineras-full-day	Maras, Moray & Salt Mines Tour from Cusco	Visit the Moray terraces and Maras Salt Mines on a scenic cultural day tour departing from Cusco and surroundings.	/tour/maras-moray-and-the-salineras-full-day/	https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/
qeswachaka-bridge-full-day	Q’eswachaka Bridge Full-Day Tour from Cusco	Visit Peru’s last remaining Inca suspension bridge on a unique cultural day tour from Cusco and surrounding Sacred Valley area.	/tour/qeswachaka-bridge-full-day/	https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/
sacred-valley-short-inca-trail-3d	3-Day Sacred Valley & Short Inca Trail Tour	Combine Sacred Valley excursions with the Short Inca Trail on a complete Machu Picchu unforgettable adventure.	/tour/sacred-valley-short-inca-trail-3d/	https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/
cusco-corpus-christi	4-Day Corpus Christi Festival in Cusco, Peru	Join the Corpus Christi festival in Cusco, Peru, on a 4-day cultural tour with traditional processions and Andean heritage celebrations.	/tour/cusco-corpus-christi/	https://www.perugrandtravel.com/tour/cusco-corpus-christi/
machu-picchu-moderate-4d	4-Day Machu Picchu Itinerary with Cusco & Sacred Valley	Explore Cusco, Sacred Valley, and Machu Picchu on a 4-day journey ideal for travelers seeking comfort, culture, and adventure.	/tour/machu-picchu-moderate-4d/	https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/
humantay-lake-full-day	Humantay Lake Full-Day Tour from Cusco	Hike to the stunning Humantay Lake and experience one of the most beautiful natural landscapes near Cusco. Book Now.	/tour/humantay-lake-full-day/	https://www.perugrandtravel.com/tour/humantay-lake-full-day/
cusco-planetarium	Cusco Planetarium Experience - Peru Grand Travel	Book your excursion to the Cusco Planetarium. Learn more about Inca astronomy, how they used it for religion and agriculture.	/tour/cusco-planetarium/	https://www.perugrandtravel.com/tour/cusco-planetarium/
grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days	Private Machu Picchu Tour 5 Days with Casa Andina Hotels	Enjoy a 5-day private journey through Cusco, the Sacred Valley and Machu Picchu, staying at Casa Andina hotels with premium comfort.	/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/	https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/
machu-picchu-challenge-8d	8-Day Machu Picchu Adventure Itinerary with Cusco	Uncover Cusco, Andean trails, and Machu Picchu on an exciting 8-day adventure itinerary designed for active travelers.	/tour/machu-picchu-challenge-8d/	https://www.perugrandtravel.com/tour/machu-picchu-challenge-8d/
spectacular-cusco-7-days	Cusco 7-Day Itinerary with Sacred Valley & Inca Heritage	Experience Cusco in 7 days, the ancient capital of the Inca Empire, with visits to archaeological sites, cultural experiences, landscapes.	/tour/spectacular-cusco-7-days/	https://www.perugrandtravel.com/tour/spectacular-cusco-7-days/
machu-picchu-express-3d	3-Day Machu Picchu Express Tour from Cusco	Perfect for those on limited time, this 3-day Machu Picchu tour includes the main Cusco highlights, train travel and guided visits.	/tour/machu-picchu-express-3d/	https://www.perugrandtravel.com/tour/machu-picchu-express-3d/
tour-south-valley-cusco	South Valley in Cusco: Discover Hidden Gems	Explore Piquillacta, Tipón, and Andahuaylillas in the South Valley in Cusco. Dive into history and culture. Book your adventure now!	/tour/tour-south-valley-cusco/	https://www.perugrandtravel.com/tour/tour-south-valley-cusco/
wonder-of-peru-coast-andes-and-rainforest-13d	13-Day Peru Itinerary with Coast, Andes & Amazon Adventure	Discover Peru in 13 days from the coast to the Andes and the Amazon. Visit Lima, the Ballestas Islands, Huacachina dunes and Cusco.	/tour/wonder-of-peru-coast-andes-and-rainforest-13d/	https://www.perugrandtravel.com/tour/wonder-of-peru-coast-andes-and-rainforest-13d/
grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days	Private Machu Picchu Tour 5 Days with Inkaterra	Experience a 5-day private luxury journey through Cusco, the Sacred Valley and Machu Picchu, staying at Inkaterra eco-luxury hotels.	/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days/	https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days/
