landing_page,sessions,active_users,conversions,engagement_rate
/,1078,838,0,0.549165120593692
/packages,540,511,0,0.50555555555555554
/machu-picchu-packages,384,354,0,0.53385416666666663
(not set),118,61,0,0.0423728813559322
/contact-us,49,42,0,0.14285714285714285
/peru/lima/natural-attractions/costa-verde,41,27,0,0.36585365853658536
/tour/classic-machu-picchu-5d,39,18,0,0.33333333333333331
/tailor-made-tour,26,17,0,0.11538461538461539
/z0f76a1d14fd21a8fb5fd0d03e0fdc3d3cedae52f,18,18,0,0
/luxury-tours,17,17,0,0.29411764705882354
/peru/lima/churches-and-convents/basilica-and-convent-of-santo-domingo-lima,17,16,0,0.23529411764705882
/about-us,15,9,0,0.46666666666666667
/peru/lima/squares-and-parks/parque-del-amor,15,13,0,0.26666666666666666
/day-tours-in-cusco,13,6,0,0.30769230769230771
/tour/the-classic-salkantay-trek-5d,13,6,0,0.38461538461538464
/tour/colonial-lima-and-sacred-land-of-the-incas-7d,12,10,0,0.16666666666666666
/tour/classic-inca-trail-4d,11,7,0,0.27272727272727271
/peru/lima/archaeological-sites/huaca-pucllana,10,8,0,0.3
/tour/machu-picchu-challenge-8d,10,8,0,0.4
/tour/machu-picchu-humantay-lake-6d,10,8,0,0.5
/peru/lima/churches-and-convents/basilica-and-convent-of-san-francisco,9,9,0,0.44444444444444442
/tour/spectacular-peru-10d,9,8,0,0.22222222222222221
/peru/lima/churches-and-convents/convent-of-our-lady-of-la-merced,8,7,0,0.5
/tour/peru-grand-deluxe-by-belmond-andean-explorer-10-days,8,5,0,0.625
/tour/machu-picchu-full-day,7,5,0,0.42857142857142855
/tour/peru-grand-deluxe-lima-cusco-machu-picchu-7days,7,6,0,0.42857142857142855
/peru/arequipa,6,6,0,0.16666666666666666
/peru/cusco/archaeological-sites/puka-pukara,6,5,0,0
/peru/cusco/archaeological-sites/sacsayhuaman,6,6,0,0.16666666666666666
/peru/lima/archaeological-sites/caral,6,6,0,1
/peru/lima/squares-and-parks/magical-water-circuit-lima,6,5,0,0.16666666666666666
/tour/machu-picchu-extreme-challenge,6,6,0,0.5
/peru/cusco/archaeological-sites/coricancha,5,5,0,0.4
/peru/cusco/archaeological-sites/ollantaytambo,5,5,0,0.6
/peru/lima/archaeological-sites/pachacamac,5,5,0,0.4
/peru/lima/churches-and-convents/basilica-cathedral-of-lima,5,4,0,0.2
/tour/amazon-rainforest-4d,5,4,0,0.6
/tour/colonial-lima-huacachina-and-sacred-land-of-the-incas-9-days,5,3,0,0.4
/tour/origins-of-the-incas-10d,5,5,0,0.6
/tour/palccoyo-rainbow-mountain-full-day,5,5,0,0.2
/tour/super-sacred-valley-tour,5,5,0,0.2
/payment-methods,4,4,0,0.25
/peru/cusco/archaeological-sites/qenqo,4,4,0,0.25
/peru/cusco/archaeological-sites/raqchi,4,4,0,0.25
/peru/ica,4,4,0,0.5
/peru/lima/museums/national-museum-of-archaeology-anthropology-and-history-of-peru,4,4,0,0.75
/tour/atv-rainbow-mountain,4,4,0,0.5
/tour/gastronomic-and-historic-peru-10d,4,4,0,0.25
/tour/grand-deluxe-cusco-machu-picchu-by-belmond-5-days,4,4,0,0.5
/tour/hidden-treasures-huaraz-17d,4,4,0,0.25
/tour/inca-encounters-8d,4,4,0,0.5
/tour/inca-jungle-trek-4d,4,4,0,0.25
/tour/incredible-experience-machu-picchu-7d,4,4,0,0
/tour/incredible-machu-picchu-2d,4,1,0,0
/tour/inti-raymi-full-day,4,4,0,0.25
/tour/machu-picchu-moderate-4d,4,4,0,0.5
/tour/origins-and-mysteries-of-the-andes-16d,4,4,0,0.75
/tour/peru-amazon-rainforest-9d,4,4,0,0.25
/tour/unforgettable-machu-picchu-8d,4,4,0,0.25
/tour/wonder-of-peru-coast-andes-and-rainforest-13d,4,4,0,0.25
/inca-trail-tours,3,3,0,0
/offers,3,3,0,0.66666666666666663
/peru/cusco/archaeological-sites/choquequirao,3,3,0,0
/peru/cusco/archaeological-sites/tambomachay,3,3,0,0.33333333333333331
/peru/puno,3,3,0,0
/privacy-policy-and-data-protection,3,3,0,0.33333333333333331
/social-projects/cleaning-campaigns,3,3,0,0.33333333333333331
/sustainable-tourism,3,3,0,0.33333333333333331
/tour/city-tour-in-cusco,3,3,0,0.33333333333333331
/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days,3,2,0,0.33333333333333331
/tour/lares-trek-4d,3,3,0,0.33333333333333331
/tour/machu-picchu-express-3d,3,3,0,0
/tour/maras-moray-and-salineras-atv-tour,3,1,0,0.33333333333333331
/tour/maras-moray-and-the-salineras-full-day,3,2,0,0.66666666666666663
/tour/rainbow-mountain-full-day,3,3,0,0.66666666666666663
/tour/short-inca-trail-with-amazon-rainforest-8d,3,3,0,0.33333333333333331
/tour/wonderful-peru-12-days,3,3,0,0.33333333333333331
/machu-picchu-packages/,2,2,0,0
/packages/,2,2,0,0
/peru/cusco,2,2,0,0.5
/peru/cusco/archaeological-sites/chinchero,2,2,0,0.5
/peru/lima,2,2,0,0
/peru/lima/churches-and-convents,2,2,0,0.5
/policy-terms-and-conditions,2,2,0,0
/tour-category/tours-in-peru,2,1,0,1
/tour/andean-wedding-full-day,2,2,0,0.5
/tour/ausangate-7-lakes-day-trip,2,2,0,0
/tour/choquequirao-trek-5d,2,2,0,1
/tour/classic-inca-trail-7-days,2,2,0,0.5
/tour/classic-machu-picchu-5d/https:/www.perugrandtravel.com/tour/classic-machu-picchu-5d,2,2,0,0.5
/tour/cusco-corpus-christi,2,2,0,0
/tour/fascinating-adventure-challenge-in-the-andes-11-days,2,1,0,0
/tour/grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days,2,1,0,0.5
/tour/holy-week-in-cusco,2,2,0,0
/tour/qeswachaka-bridge-full-day,2,2,0,0
/tour/sacred-valley-short-inca-trail-3d,2,2,0,0.5
/tour/salkantay-trek-4-days,2,2,0,0
/tour/spectacular-cusco-7-days,2,2,0,0.5
/tour/tour-by-bike-maras-moray-and-salineras,2,1,0,0.5
/tour/tour-south-valley-cusco,2,2,0,0
/tour/trek-humantay-salkantay-2d,2,2,0,0.5
/travel-styles/trekking,2,2,0,0
/vip/863m-bet,2,2,0,0.5
/vip/d125-bet,2,2,0,0.5
/2023/09/25,1,1,0,0
/2023/10/20,1,1,0,0
/2023/11/02,1,1,0,0
/best-beaches-in-peru,1,1,0,0
/claim-books,1,1,0,0
/community-projects,1,1,0,1
/esnna,1,1,0,0
/legal-documents,1,1,0,0
/lp/wp-admin,1,1,0,1
/peru,1,1,0,1
/peru-packages,1,1,0,0
/peru/cusco/archaeological-sites,1,1,0,1
/peru/huaraz,1,1,0,1
/peru/lima/archaeological-sites,1,1,0,1
/peru/lima/museums,1,1,0,1
/peru/lima/museums/rafael-larco-herrera,1,1,0,1
/peru/lima/natural-attractions,1,1,0,1
/peru/lima/squares-and-parks,1,1,0,1
/policy-against-exploitation-and-harassment,1,1,0,1
/salkantay-treks,1,1,0,0
/social-projects,1,1,0,1
/social-projects/christmas,1,1,0,1
/tour-category/tours-in-machu-picchu,1,1,0,0
/tour/condor-canyon-cusco-full-day,1,1,0,1
/tour/dome-piuray-lagoon,1,1,0,0
/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days,1,1,0,0
/tour/humantay-lake-full-day,1,1,0,1
/tour/machu-picchu-experience-picnic-with-llamas-7d,1,1,0,1
/tour/sacred-valley-machu-picchu-2d,1,1,0,1
/tour/tour-waqrapukara-cusco,1,1,0,1
/tourist-places-of-the-peruvian-coast,1,1,0,0
/travel-styles/adrenaline,1,1,0,1
/vip/000t-bet,1,1,0,1
/vip/237d-bet,1,1,0,1
/vip/2878-bet,1,1,0,0
/vip/297-bet,1,1,0,0
/vip/301o-bet,1,1,0,1
/vip/313-betyder,1,1,0,0
/vip/349i-bet,1,1,0,1
/vip/687h-bet,1,1,0,1
/vip/87k-bet,1,1,0,0
/vip/883z-bet,1,1,0,1
/vip/b485-bet,1,1,0,0
/vip/bet-fun,1,1,0,0
/vip/cfc-betel,1,1,0,1
/vip/corinthians-oddspedia,1,1,0,0
/vip/dtu777-bet,1,1,0,1
/vip/e087-bet,1,1,0,1
/vip/e344-bet,1,1,0,0
/vip/edk-bet,1,1,0,1
/vip/fns-betyder,1,1,0,1
/vip/gn666-bet,1,1,0,0
/vip/hez888-bet,1,1,0,0
/vip/icw888-bet,1,1,0,0
/vip/jeu789-bet,1,1,0,0
/vip/k397-bet,1,1,0,0
/vip/k768-bet,1,1,0,0
/vip/l445-bet,1,1,0,0
/vip/nfw777-bet,1,1,0,0
/vip/novo-bets,1,1,0,1
/vip/ppq777-bet,1,1,0,0
/vip/sbp666-bet,1,1,0,1
/vip/uukk-bet,1,1,0,0
/vip/uwf888-bet,1,1,0,1
/vip/vip854-bet,1,1,0,0
/vip/vqo999-bet,1,1,0,1
/vip/wh4-bet,1,1,0,0
/vip/z422-bet,1,1,0,1
/vip/zki777-bet,1,1,0,1
/what-to-see-in-peru,1,1,0,1
