url,clicks,impressions,note
https://www.perugrandtravel.com/,228,3525,home
https://www.perugrandtravel.com/blog/peru/where-to-buy-peruvian-pisco-2026,18,1332,
https://www.perugrandtravel.com/blog/huaraz/the-best-things-to-do-in-huaraz,13,721,
https://www.perugrandtravel.com/peru/lima/natural-attractions/costa-verde/,12,8740,high impressions low CTR
https://www.perugrandtravel.com/blog/there-snow-in-peru/,12,1988,
https://www.perugrandtravel.com/blog/peru/there-snow-in-peru,9,1051,possible duplicate
https://www.perugrandtravel.com/blog/the-best-things-to-do-in-huaraz/,9,897,possible duplicate
https://www.perugrandtravel.com/blog/the-sun-of-echenique/,9,378,
https://www.perugrandtravel.com/blog/where-to-buy-peruvian-pisco-2026/,8,1354,possible duplicate
https://www.perugrandtravel.com/blog/where-to-buy-peruvian-pisco/,8,156,
