tipo,titulo,url,slug,clics,impresiones,posicion
tour,Salkantay SKY Trek 4 days,https://www.perugrandtravel.com/tour/salkantay-trek-4-days/,salkantay-trek-4-days,1,"3,259",51.46
tour,"Tour of Maras, Moray & Salineras from Cusco",https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,maras-moray-and-the-salineras-full-day,1,"2,816",46.89
tour,Inca Bridge of Q'eswachaka Full Day,https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,qeswachaka-bridge-full-day,1,"1,611",30.18
tour,Sacred Valley + Short Inca Trail 3 days,https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/,sacred-valley-short-inca-trail-3d,1,"1,603",58.84
tour,Incredible Machu Picchu 2D/1N,https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/,incredible-machu-picchu-2d,1,"1,329",45.54
tour,Salkantay SKY Trek 5 days,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,the-classic-salkantay-trek-5d,1,"1,218",26.79
tour,Corpus Christi in Cusco 4 days,https://www.perugrandtravel.com/tour/cusco-corpus-christi/,cusco-corpus-christi,1,"1,211",33.92
tour,Machu Picchu Moderate 4D/3N,https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/,machu-picchu-moderate-4d,1,"1,209",38.05
tour,Humantay Lake Hike (Full Day),https://www.perugrandtravel.com/tour/humantay-lake-full-day/,humantay-lake-full-day,1,"1,107",67.81
tour,Cusco Planetarium Experience,https://www.perugrandtravel.com/tour/cusco-planetarium/,cusco-planetarium,1,784,20.62
tour,Grand Deluxe Cusco & Machu Picchu by Casa Andina hotels 5 days,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/,grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days,1,735,37.6
tour,Machu Picchu Challenge 8D/7N,https://www.perugrandtravel.com/tour/machu-picchu-challenge-8d/,machu-picchu-challenge-8d,1,589,10.13
tour,Spectacular Cusco 7 days,https://www.perugrandtravel.com/tour/spectacular-cusco-7-days/,spectacular-cusco-7-days,1,556,24.91
tour,Machu Picchu Express 3D/2N,https://www.perugrandtravel.com/tour/machu-picchu-express-3d/,machu-picchu-express-3d,1,528,29.78
