slug,titulo,precio_web_usd,quote_only,duracion_web,categoria_sheet,estilo_viaje,gsc_clics_16m,precio_otas_interno_usd,precio_gyg_usd,precio_viator_usd,margen_pct_estimado,notas_ops,fuente_precio_web,validado_ops,fecha_snapshot
amazon-rainforest-4d,≫ Discover the Magic of the Amazon Rainforest (4 days),0.0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
amazon-rainforest-express-3d,Amazon Rainforest Express 3 days – Peru Grand Travel,0.0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,,,,,,,scrape JSON-LD / #prices,no,2026-09-01
andean-wedding-full-day,Traditional Andean Wedding Ceremony in Chinchero,299,no,1 day,Day Tours in Cusco,Culture,24,,,,,,scrape JSON-LD / #prices,no,2026-09-01
atv-rainbow-mountain,Rainbow Mountain ATV Adventure Full Day,170,no,1 day,Day Tours in Cusco,"Adrenaline, Adventure",7,,,,,,scrape JSON-LD / #prices,no,2026-09-01
ausangate-7-lakes-day-trip,Ausangate 7 Lakes Full-Day Tour from Cusco,90,no,1 day,Day Tours in Cusco,"Adventure, Trekking",6,,,,,,scrape JSON-LD / #prices,no,2026-09-01
ballestas-huacachina-islands-full-day,Ballestas & Huacachina Islands with sandboard & buggies-Full Day,150,no,2D/1N,,,,,,,,,scrape JSON-LD / #prices,no,2026-09-01
challenge-of-the-incas-15d,Peru Travel Packages 2026 - Customized Tours & Machu Picchu,0.0,yes,7D/6N,Tours in Peru,Combined Travel,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
choquequirao-trek-5d,5-Day Choquequirao Trek from Cusco,620,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Alternative Inca Trail Treks,Trekking,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
city-tour-in-cusco,▷ Cusco City Tour - 1 day tour,60,no,2D/1N,,,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
classic-inca-trail-4d,4-Day Classic Inca Trail to Machu Picchu,780,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Inca Trail Treks,Trekking,5,,,,,,scrape JSON-LD / #prices,no,2026-09-01
classic-inca-trail-7-days,7-Day Classic Inca Trail to Machu Picchu with Transfers,879,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Inca Trail Treks,Trekking,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
classic-machu-picchu-5d,5-Day Classic Machu Picchu Itinerary with Cusco,730,no,5D/4N,"Best Selling Packages in Peru, Tours in Machu Picchu",Traditional,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
colonial-lima-and-sacred-land-of-the-incas-7d,"7-Day Peru Itinerary: Lima, Cusco & Machu Picchu Tour",889,no,7D/6N,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
colonial-lima-huacachina-and-sacred-land-of-the-incas-9-days,"9-Day Peru Itinerary with Lima, Huacachina & Cusco",1147,no,9D/8N,Tours in Peru,Combined Travel,33,,,,,,scrape JSON-LD / #prices,no,2026-09-01
condor-canyon-cusco-full-day,▷ The CONDOR CHONTA CANYON in Cusco Peru & Tour of 1 day,0.0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,19,,,,,,scrape JSON-LD / #prices,no,2026-09-01
cusco-corpus-christi,"4-Day Corpus Christi Festival in Cusco, Peru",0.0,yes,1 day,,,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
cusco-planetarium,Cusco Planetarium Experience - Peru Grand Travel,50,no,2D/1N,,,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
cusco-rafting-and-zipline,CUSCO RAFTING and Zipline adventure in Cusco Peru,0.0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
dome-piuray-lagoon,▷ Dome on the Piuray Lagoon is Unforgettable Experience,0.0,yes,1 day,,Culture,7,,,,,,scrape JSON-LD / #prices,no,2026-09-01
fascinating-adventure-challenge-in-the-andes-11-days,"11-Day Peru Itinerary with Lima, Paracas & Cusco",1299,no,11D/10N,Tours in Peru,Combined Travel,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
gastronomic-and-historic-peru-10d,10-Day Peru Food & Culture Tour: Cusco & Lake Titicaca,1378,no,10D/9N,Tours in Peru,Combined Travel,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
grand-deluxe-cusco-machu-picchu-by-belmond-5-days,Private Machu Picchu Tour 5 Days with Belmond Luxury,0.0,yes,2D/1N,,,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days,Private Machu Picchu Tour 5 Days with Casa Andina Hotels,1264,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days,Private Machu Picchu Tour 5 Days with Inkaterra,1836,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days,Private Machu Picchu Tour 5 Days with Luxury Collection Hotels,1852,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,,8,,,,,,scrape JSON-LD / #prices,no,2026-09-01
hidden-treasures-huaraz-17d,"17-Day Peru Itinerary with Huaraz, Cusco & Machu Picchu",3030,no,17D/16N,Tours in Peru,Combined Travel,8,,,,,,scrape JSON-LD / #prices,no,2026-09-01
holy-week-in-cusco,Cusco Holy Week 2026 with 6-Day Cultural Experience,0.0,yes,1 day,,Events &amp; Festivals,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
humantay-lake-full-day,Humantay Lake Full-Day Tour from Cusco,90,no,"19px ;""  >",Day Tours in Cusco,Trekking,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
inca-encounters-8d,"8-Day Peru Itinerary with Cusco, Machu Picchu & Puno",1144,no,8D/7N,Tours in Peru,Combined Travel,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
inca-jungle-combined-7d,Inca Jungle Combined 7 days – Peru Grand Travel,0.0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},,Adventure,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
inca-jungle-trek-4d,4-Day Inca Jungle Trail to Machu Picchu,550,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Alternative Inca Trail Treks,Adventure,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
incredible-experience-machu-picchu-7d,7-Day Machu Picchu Itinerary with Cusco & Sacred Valley,935,no,7D/6N,Tours in Machu Picchu,,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
incredible-machu-picchu-2d,2-Day Sacred Valley & Machu Picchu Tour by Train,439,no,2D/1N,Tours in Machu Picchu,Traditional,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
inti-raymi-full-day,Inti Raymi Festival Tour in Cusco 2026,350,no,4 days,,Events &amp; Festivals,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
lares-trek-4d,4-Day Lares Trek to Machu Picchu,590,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},Alternative Inca Trail Treks,Trekking,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
machu-picchu-challenge-8d,8-Day Machu Picchu Adventure Itinerary with Cusco,1009,no,8D/7N,Tours in Machu Picchu,Traditional,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
machu-picchu-experience-picnic-with-llamas-7d,7-Day Machu Picchu Itinerary with Andean Picnic Experience,982,no,7D/6N,Tours in Machu Picchu,Traditional,7,,,,,,scrape JSON-LD / #prices,no,2026-09-01
machu-picchu-express-3d,3-Day Machu Picchu Express Tour from Cusco,598,no,3D/2N,Tours in Machu Picchu,Traditional,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
