producto,url_en,url_es,url_pt_BR,url_it,idiomas,confianza
Home,https://www.perugrandtravel.com/,https://www.viajesmachupicchutours.com/,https://www.machupicchupacotes.com/,https://www.viaggiomachupicchu.it/,4,alta
City Tour Cusco,https://www.perugrandtravel.com/tour/city-tour-in-cusco/,https://www.viajesmachupicchutours.com/tour/cusco-city-tour/,https://www.machupicchupacotes.com/pacote/city-tour-cusco/,— NO EXISTE —,3,alta
Planetario Cusco,https://www.perugrandtravel.com/tour/cusco-planetarium/,https://www.viajesmachupicchutours.com/tour/planetario-cusco/,https://www.machupicchupacotes.com/pacote/planetario-cusco/,— NO EXISTE —,3,alta
Matrimonio Andino,https://www.perugrandtravel.com/tour/andean-wedding-full-day/,https://www.viajesmachupicchutours.com/tour/matrimonio-andino-full-day/,https://www.machupicchupacotes.com/pacote/casamento-andino-full-day/,https://www.viaggiomachupicchu.it/tour/matrimonio-andino/,4,alta
Laguna Humantay,https://www.perugrandtravel.com/tour/humantay-lake-full-day/,https://www.viajesmachupicchutours.com/tour/laguna-humantay-full-day/,https://www.machupicchupacotes.com/pacote/laguna-humantay-1d/,https://www.viaggiomachupicchu.it/tour/laguna-humantay/,4,alta
Vinicunca / Montaña de Colores,https://www.perugrandtravel.com/tour/rainbow-mountain-full-day/,https://www.viajesmachupicchutours.com/tour/vinicunca-montana-de-colores-1-dia/,https://www.machupicchupacotes.com/pacote/montanha-colorida-1d/,https://www.viaggiomachupicchu.it/tour/montagna-arcobaleno/,4,alta
Vinicunca en cuatrimoto,https://www.perugrandtravel.com/tour/atv-rainbow-mountain/,https://www.viajesmachupicchutours.com/tour/montana-de-7-colores-en-cuatrimoto/,https://www.machupicchupacotes.com/pacote/montanha-colorida-quadricilo/,https://www.viaggiomachupicchu.it/tour/montagna-arcobaleno-in-atv/,4,alta
Palccoyo,https://www.perugrandtravel.com/tour/palccoyo-rainbow-mountain-full-day/,https://www.viajesmachupicchutours.com/tour/palccoyo-cordillera-de-arcoiris-1-dia/,https://www.machupicchupacotes.com/pacote/montanha-palccoyo-1d/,https://www.viaggiomachupicchu.it/tour/montagna-arcobaleno-palccoyo/,4,alta
7 Lagunas de Ausangate,https://www.perugrandtravel.com/tour/ausangate-7-lakes-day-trip/,https://www.viajesmachupicchutours.com/tour/caminata-7-lagunas-ausangate/,https://www.machupicchupacotes.com/pacote/7-lagunas-ausangate/,https://www.viaggiomachupicchu.it/tour/7-lagune-ausangate/,4,alta
Qeswachaka,https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,https://www.viajesmachupicchutours.com/tour/qeswachaka-4-lagunas-full-day/,https://www.machupicchupacotes.com/pacote/qeswachaka-1d/,https://www.viaggiomachupicchu.it/tour/ponte-inca-qeswachaka/,4,media
"Maras, Moray y Salineras",https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,https://www.viajesmachupicchutours.com/tour/salineras-maras-moray/,https://www.machupicchupacotes.com/pacote/salineras-maras-moray/,— NO EXISTE —,3,alta
Maras Moray en cuatrimoto,https://www.perugrandtravel.com/tour/maras-moray-and-salineras-atv-tour/,https://www.viajesmachupicchutours.com/tour/maras-moray-salineras-quatrimoto/,https://www.machupicchupacotes.com/pacote/salineras-maras-moray-de-quadriciclo/,https://www.viaggiomachupicchu.it/tour/atv-di-maras-moray/,4,alta
Maras Moray en bicicleta,https://www.perugrandtravel.com/tour/tour-by-bike-maras-moray-and-salineras/,https://www.viajesmachupicchutours.com/tour/bike-maras-moray-salineras/,https://www.machupicchupacotes.com/pacote/moray-e-salineiras-bike-1d/,https://www.viaggiomachupicchu.it/tour/bicicletta-di-maras-moray/,4,alta
Valle Sur de Cusco,https://www.perugrandtravel.com/tour/tour-south-valley-cusco/,https://www.viajesmachupicchutours.com/tour/tour-valle-sur-cusco/,https://www.machupicchupacotes.com/pacote/vale-sul/,— NO EXISTE —,3,alta
Waqrapukara,https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/,https://www.viajesmachupicchutours.com/tour/tour-waqrapukara-cusco/,— NO EXISTE —,— NO EXISTE —,2,alta
Cañón del Cóndor,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/,— NO EXISTE —,— NO EXISTE —,— NO EXISTE —,1,alta
Domo Laguna Piuray,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/,— NO EXISTE —,— NO EXISTE —,— NO EXISTE —,1,alta
Rafting y Tirolesa,https://www.perugrandtravel.com/tour/cusco-rafting-and-zipline/,— NO EXISTE —,https://www.machupicchupacotes.com/pacote/cusco-rafting-tirolesa-1d/,— NO EXISTE —,2,alta
Machu Picchu Full Day,https://www.perugrandtravel.com/tour/machu-picchu-full-day/,https://www.viajesmachupicchutours.com/tour/machu-picchu-1-dia/,https://www.machupicchupacotes.com/pacote/machu-picchu-full-day/,https://www.viaggiomachupicchu.it/tour/machu-picchu-1-giorno/,4,alta
Valle Sagrado de los Incas,https://www.perugrandtravel.com/tour/sacred-valley-of-the-incas-tour/,https://www.viajesmachupicchutours.com/tour/tour-valle-sagrado-de-los-incas/,https://www.machupicchupacotes.com/pacote/vale-sagrado-dos-incas/,— NO EXISTE —,3,alta
Valle Sagrado VIP / Super,https://www.perugrandtravel.com/tour/super-sacred-valley-tour/,https://www.viajesmachupicchutours.com/tour/tour-valle-sagrado-de-los-incas-vip/,— NO EXISTE —,— NO EXISTE —,2,alta
Valle Sagrado + Machu Picchu 2D,https://www.perugrandtravel.com/tour/sacred-valley-machu-picchu-2d/,https://www.viajesmachupicchutours.com/tour/valle-sagrado-y-machu-picchu-2d/,https://www.machupicchupacotes.com/pacote/vale-sagrado-e-machu-picchu-2d/,— NO EXISTE —,3,alta
Camino Inca Clásico 4D,https://www.perugrandtravel.com/tour/classic-inca-trail-4d/,https://www.viajesmachupicchutours.com/tour/camino-inca-clasico-4-dias/,https://www.machupicchupacotes.com/pacote/trilha-inca-classica-4d/,https://www.viaggiomachupicchu.it/tour/cammino-inca-4-giorni/,4,alta
Camino Inca 7D,https://www.perugrandtravel.com/tour/classic-inca-trail-7-days/,https://www.viajesmachupicchutours.com/tour/camino-inca-7d-traslados/,https://www.machupicchupacotes.com/pacote/trilha-inca-classica-7d/,https://www.viaggiomachupicchu.it/tour/cammino-inca-7-giorni/,4,alta
