producto,mercado_faltante,existe_en,url_referencia
City Tour Cusco,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/city-tour-in-cusco/
Planetario Cusco,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/cusco-planetarium/
"Maras, Moray y Salineras",it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/
Valle Sur de Cusco,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/tour-south-valley-cusco/
Waqrapukara,pt-BR,"en, es",https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/
Waqrapukara,it,"en, es",https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/
Cañón del Cóndor,es,en,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/
Cañón del Cóndor,pt-BR,en,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/
Cañón del Cóndor,it,en,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/
Domo Laguna Piuray,es,en,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/
Domo Laguna Piuray,pt-BR,en,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/
Domo Laguna Piuray,it,en,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/
Rafting y Tirolesa,es,"en, pt-BR",https://www.perugrandtravel.com/tour/cusco-rafting-and-zipline/
Rafting y Tirolesa,it,"en, pt-BR",https://www.perugrandtravel.com/tour/cusco-rafting-and-zipline/
Valle Sagrado de los Incas,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/sacred-valley-of-the-incas-tour/
Valle Sagrado VIP / Super,pt-BR,"en, es",https://www.perugrandtravel.com/tour/super-sacred-valley-tour/
Valle Sagrado VIP / Super,it,"en, es",https://www.perugrandtravel.com/tour/super-sacred-valley-tour/
Valle Sagrado + Machu Picchu 2D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/sacred-valley-machu-picchu-2d/
Inca Jungle 4D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/inca-jungle-trek-4d/
Inca Jungle Combinada 7D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/inca-jungle-combined-7d/
Salkantay Trek 4D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/salkantay-trek-4-days/
Salkantay Sky 5D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/
Salkantay Combinada 7D,en,"es, pt-BR",https://www.viajesmachupicchutours.com/tour/camino-inca-salkantay-machu-picchu-7-dias/
Salkantay Combinada 7D,it,"es, pt-BR",https://www.viajesmachupicchutours.com/tour/camino-inca-salkantay-machu-picchu-7-dias/
Humantay + Salkantay Pass 2D,es,"en, pt-BR",https://www.perugrandtravel.com/tour/trek-humantay-salkantay-2d/
Humantay + Salkantay Pass 2D,it,"en, pt-BR",https://www.perugrandtravel.com/tour/trek-humantay-salkantay-2d/
Lares Trek 4D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/lares-trek-4d/
Choquequirao 5D,it,"en, es, pt-BR",https://www.perugrandtravel.com/tour/choquequirao-trek-5d/
