Título,URL,Slug,Categoría de tour,Estilo de viaje,Etiquetas,Keyword principal,Keywords secundarias,Título SEO,Meta description,SEO score,Palabras,Publicado,Modificado,Estado,Clics,Impresiones,CTR,Posición
Salkantay SKY Trek 4 days,https://www.perugrandtravel.com/tour/salkantay-trek-4-days/,salkantay-trek-4-days,Alternative Inca Trail Treks,Trekking,Salkantay Treks,Salkantay Trek 4 days,,4-Day Salkantay Sky Camp Trek to Machu Picchu,Experience the Salkantay Trek to Machu Picchu in 4 days with Sky Camp lodging and spectacular mountain landscapes.,75,0,2012-03-04,2026-06-04,publish,1,"3,259",0.03%,51.46
"Tour of Maras, Moray & Salineras from Cusco",https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,maras-moray-and-the-salineras-full-day,Day Tours in Cusco,"Adrenaline, Traditional",Cusco,maras salt mines tour,,"Maras, Moray & Salt Mines Tour from Cusco",Visit the Moray terraces and Maras Salt Mines on a scenic cultural day tour departing from Cusco and surroundings.,69,0,2022-04-01,2026-06-04,publish,1,"2,816",0.04%,46.89
Inca Bridge of Q'eswachaka Full Day,https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,qeswachaka-bridge-full-day,Day Tours in Cusco,Culture,Cusco,q'eswachaka rope bridge tour,,Q’eswachaka Bridge Full-Day Tour from Cusco,Visit Peru’s last remaining Inca suspension bridge on a unique cultural day tour from Cusco and surrounding Sacred Valley area.,73,0,2023-03-20,2026-06-04,publish,1,"1,611",0.06%,30.18
Sacred Valley + Short Inca Trail 3 days,https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/,sacred-valley-short-inca-trail-3d,Inca Trail Treks,Trekking,Inca Trail,inca trail 3 days,,3-Day Sacred Valley & Short Inca Trail Tour,Combine Sacred Valley excursions with the Short Inca Trail on a complete Machu Picchu unforgettable adventure.,72,0,2012-03-02,2026-06-04,publish,1,"1,603",0.06%,58.84
Incredible Machu Picchu 2D/1N,https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/,incredible-machu-picchu-2d,Tours in Machu Picchu,Traditional,Machu Picchu Tours,machu picchu tour from cusco 2 days,,2-Day Sacred Valley & Machu Picchu Tour by Train,Visit Sacred Valley and Machu Picchu on a 2-day trip featuring scenic train rides and cultural experiences.,75,0,2012-02-02,2026-06-04,publish,1,"1,329",0.08%,45.54
Salkantay SKY Trek 5 days,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,the-classic-salkantay-trek-5d,Alternative Inca Trail Treks,Trekking,Salkantay Treks,salkantay trek 5 days,,5-Day Salkantay Sky Camp Trek to Machu Picchu,"Hike the Salkantay Trek to Machu Picchu in 5 days with Sky Camp accommodation, breathtaking scenery, and unforgettable adventure experiences.",81,0,2012-03-05,2026-06-04,publish,1,"1,218",0.08%,26.79
Corpus Christi in Cusco 4 days,https://www.perugrandtravel.com/tour/cusco-corpus-christi/,cusco-corpus-christi,,,Offers,Corpus Christi in Cusco,,"4-Day Corpus Christi Festival in Cusco, Peru","Join the Corpus Christi festival in Cusco, Peru, on a 4-day cultural tour with traditional processions and Andean heritage celebrations.",80,0,2023-12-28,2026-06-04,publish,1,"1,211",0.08%,33.92
Machu Picchu Moderate 4D/3N,https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/,machu-picchu-moderate-4d,Tours in Machu Picchu,Traditional,Machu Picchu Tours,Sacred Valley and Machu Picchu Tour,,4-Day Machu Picchu Itinerary with Cusco & Sacred Valley,"Explore Cusco, Sacred Valley, and Machu Picchu on a 4-day journey ideal for travelers seeking comfort, culture, and adventure.",65,0,2012-02-04,2026-06-04,publish,1,"1,209",0.08%,38.05
Humantay Lake Hike (Full Day),https://www.perugrandtravel.com/tour/humantay-lake-full-day/,humantay-lake-full-day,Day Tours in Cusco,Trekking,"Cusco, Others",humantay lake hike,,Humantay Lake Full-Day Tour from Cusco,Hike to the stunning Humantay Lake and experience one of the most beautiful natural landscapes near Cusco. Book Now.,76,0,2022-04-01,2026-06-04,publish,1,"1,107",0.09%,67.81
Cusco Planetarium Experience,https://www.perugrandtravel.com/tour/cusco-planetarium/,cusco-planetarium,,,,Cusco Planetarium,,Cusco Planetarium Experience - Peru Grand Travel,"Book your excursion to the Cusco Planetarium. Learn more about Inca astronomy, how they used it for religion and agriculture.",76,0,2024-08-08,2024-10-01,publish,1,784,0.13%,20.62
